time,ecg
1710814961335,171
1710814961343,137
1710814961351,105
1710814961359,85
1710814961366,73
1710814961374,56
1710814961382,44
1710814961389,44
1710814961397,41
1710814961405,46
1710814961412,61
1710814961420,58
1710814961428,46
1710814961435,51
1710814961443,66
1710814961451,71
1710814961457,85
1710814961465,117
1710814961473,122
1710814961481,103
1710814961489,107
1710814961497,125
1710814961504,134
1710814961512,134
1710814961520,127
1710814961527,115
1710814961535,115
1710814961543,127
1710814961550,130
1710814961558,125
1710814961566,132
1710814961573,137
1710814961581,125
1710814961589,120
1710814961596,132
1710814961604,134
1710814961612,137
1710814961619,157
1710814961627,171
1710814961635,159
1710814961643,149
1710814961649,137
1710814961657,115
1710814961665,107
1710814961673,130
1710814961681,144
1710814961689,110
1710814961696,76
1710814961704,80
1710814961712,115
1710814961719,235
1710814961727,512
1710814961735,780
1710814961742,672
1710814961750,71
1710814961758,-424
1710814961765,-279
1710814961773,-7
1710814961781,-19
1710814961788,4
1710814961796,100
1710814961804,88
1710814961811,63
1710814961819,93
1710814961827,107
1710814961833,105
1710814961841,112
1710814961849,117
1710814961857,117
1710814961865,117
1710814961873,112
1710814961880,117
1710814961888,127
1710814961896,139
1710814961903,152
1710814961911,161
1710814961919,176
1710814961926,191
1710814961934,196
1710814961942,218
1710814961950,245
1710814961957,245
1710814961965,242
1710814961973,255
1710814961980,250
1710814961988,228
1710814961996,211
1710814962003,179
1710814962011,130
1710814962019,103
1710814962025,78
1710814962033,44
1710814962041,24
1710814962049,22
1710814962057,24
1710814962065,19
1710814962072,22
1710814962080,26
1710814962088,31
1710814962095,46
1710814962103,58
1710814962111,51
1710814962118,49
1710814962126,61
1710814962134,71
1710814962141,73
1710814962149,78
1710814962157,80
1710814962164,76
1710814962172,73
1710814962180,78
1710814962187,66
1710814962195,49
1710814962203,44
1710814962209,49
1710814962217,51
1710814962225,49
1710814962233,51
1710814962241,58
1710814962249,61
1710814962256,49
1710814962264,46
1710814962272,63
1710814962280,73
1710814962287,78
1710814962295,76
1710814962303,51
1710814962310,19
1710814962318,29
1710814962326,58
1710814962333,66
1710814962341,73
1710814962349,85
1710814962356,76
1710814962364,71
1710814962372,105
1710814962379,213
1710814962387,446
1710814962395,694
1710814962401,640
1710814962409,122
1710814962417,-392
1710814962425,-323
1710814962433,-46
1710814962441,-44
1710814962448,-53
1710814962456,39
1710814962464,46
1710814962471,22
1710814962479,49
1710814962487,66
1710814962494,63
1710814962502,71
1710814962510,78
1710814962517,80
1710814962525,73
1710814962533,73
1710814962540,88
1710814962548,98
1710814962556,95
1710814962563,103
1710814962571,115
1710814962579,127
1710814962587,147
1710814962593,164
1710814962601,179
1710814962609,191
1710814962617,198
1710814962625,191
1710814962633,186
1710814962640,181
1710814962648,166
1710814962656,144
1710814962663,115
1710814962671,78
1710814962679,39
1710814962686,17
1710814962694,7
1710814962702,-7
1710814962709,-19
1710814962717,-26
1710814962725,-31
1710814962732,-31
1710814962740,-29
1710814962748,-29
1710814962755,-29
1710814962763,-26
1710814962771,-26
1710814962777,-19
1710814962785,-12
1710814962793,-9
1710814962801,0
1710814962809,9
1710814962817,9
1710814962824,17
1710814962832,19
1710814962840,12
1710814962847,17
1710814962855,26
1710814962863,31
1710814962871,36
1710814962878,41
1710814962886,36
1710814962894,31
1710814962901,39
1710814962909,51
1710814962917,51
1710814962924,61
1710814962932,88
1710814962940,107
1710814962947,93
1710814962955,51
1710814962963,34
1710814962969,61
1710814962977,71
1710814962985,58
1710814962993,58
1710814963001,61
1710814963009,71
1710814963016,112
1710814963024,213
1710814963032,419
1710814963039,672
1710814963047,701
1710814963055,287
1710814963062,-235
1710814963070,-262
1710814963078,7
1710814963085,36
1710814963093,7
1710814963101,88
1710814963108,98
1710814963116,71
1710814963124,95
1710814963131,110
1710814963139,105
1710814963147,120
1710814963153,137
1710814963161,132
1710814963169,120
